Event	ID	Name			Wwise Object Path	Notes
	29191587	ObjectDrop			\Default Work Unit\ObjectDrop	
	317641954	ButtonPress			\Default Work Unit\ButtonPress	
	626769978	BackgroundMusic			\Default Work Unit\BackgroundMusic	
	728871448	Door3Unlock			\Default Work Unit\Door3Unlock	
	787725374	PickupCollected			\Default Work Unit\PickupCollected	
	815433836	CoinCollect			\Default Work Unit\CoinCollect	
	1240512178	Bell			\Default Work Unit\Bell	
	1404152342	Fireplace			\Default Work Unit\Fireplace	
	1548130050	JumpLand			\Default Work Unit\JumpLand	
	2074477625	Waterfall			\Default Work Unit\Waterfall	
	2250817457	ChestLock			\Default Work Unit\ChestLock	
	2329734039	BarsOpen			\Default Work Unit\BarsOpen	
	2385628198	Footsteps			\Default Work Unit\Footsteps	
	2892697348	ChestOpen			\Default Work Unit\ChestOpen	
	2971435821	Door2Unlock			\Default Work Unit\Door2Unlock	
	3708219715	HouseDoorOpen			\Default Work Unit\HouseDoorOpen	
	3797621065	Grunt			\Default Work Unit\Grunt	
	3833651337	Jump			\Default Work Unit\Jump	
	3880051586	HarpoonShot			\Default Work Unit\HarpoonShot	
	4011786762	Door1Unlock			\Default Work Unit\Door1Unlock	

Switch Group	ID	Name			Wwise Object Path	Notes
	1834394558	Surface			\Default Work Unit\Surface	

Switch	ID	Name	Switch Group			Notes
	803837735	Sand	Surface			
	3826567475	HardSurface	Surface			
	4248645337	Grass	Surface			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3631936	GrassFootsteps-01	C:\University Work\CMP407\CMP407Coursework\Week-3-Wwise-Audio-Project\Lecture 3 - Wwise Audio_WwiseProject\.cache\Windows\SFX\GrassFootsteps-01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\GrassFootsteps\GrassFootsteps-01		88598
	84486147	SandFootsteps-03	C:\University Work\CMP407\CMP407Coursework\Week-3-Wwise-Audio-Project\Lecture 3 - Wwise Audio_WwiseProject\.cache\Windows\SFX\SandFootsteps-03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\SandFootsteps\SandFootsteps-03		71098
	129618327	Fireplace	C:\University Work\CMP407\CMP407Coursework\Week-3-Wwise-Audio-Project\Lecture 3 - Wwise Audio_WwiseProject\.cache\Windows\SFX\Fireplace_8ECAC10A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Fireplace		1524566
	145619405	Waterfall	C:\University Work\CMP407\CMP407Coursework\Week-3-Wwise-Audio-Project\Lecture 3 - Wwise Audio_WwiseProject\.cache\Windows\SFX\Waterfall_21214E28.wem		\Actor-Mixer Hierarchy\Default Work Unit\Waterfall		877730
	171105076	HardSurfaceFootsteps-03	C:\University Work\CMP407\CMP407Coursework\Week-3-Wwise-Audio-Project\Lecture 3 - Wwise Audio_WwiseProject\.cache\Windows\SFX\HardSurfaceFootsteps-04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\HardSurfaceFootSteps\HardSurfaceFootsteps-03		33102
	223973585	Bell	C:\University Work\CMP407\CMP407Coursework\Week-3-Wwise-Audio-Project\Lecture 3 - Wwise Audio_WwiseProject\.cache\Windows\SFX\Bell_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Bell		783420
	248487288	Door1LockSound	C:\University Work\CMP407\CMP407Coursework\Week-3-Wwise-Audio-Project\Lecture 3 - Wwise Audio_WwiseProject\.cache\Windows\SFX\Door1LockSound_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Door1LockSound		192740
	293075463	GrassFootsteps-03	C:\University Work\CMP407\CMP407Coursework\Week-3-Wwise-Audio-Project\Lecture 3 - Wwise Audio_WwiseProject\.cache\Windows\SFX\GrassFootsteps-03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\GrassFootsteps\GrassFootsteps-03		121542
	312755859	SandFootsteps-02	C:\University Work\CMP407\CMP407Coursework\Week-3-Wwise-Audio-Project\Lecture 3 - Wwise Audio_WwiseProject\.cache\Windows\SFX\SandFootsteps-02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\SandFootsteps\SandFootsteps-02		58744
	344301300	Door2LockSound	C:\University Work\CMP407\CMP407Coursework\Week-3-Wwise-Audio-Project\Lecture 3 - Wwise Audio_WwiseProject\.cache\Windows\SFX\Door2LockSound_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Door2LockSound		123376
